country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n,gov_s
Turkmenistan,-9.0,7.0,7.0,19.0,5.0,0.0,0.0,12.5,4.375
Timor-Leste,7.0,3.0,2.0,38.0,85.0,66.66667,83.333336,36.25,67.81250190734863
Trinidad and Tobago,10.0,2.0,2.0,41.0,100.0,83.333336,83.333336,40.0,76.66666793823242
Tunisia,,3.0,4.0,42.0,,66.66667,50.0,41.25,39.47916793823242
Turkey,9.0,6.0,5.0,40.0,95.0,16.666664,33.333336,38.75,45.9375
Taiwan,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5,91.875
Tanzania,-1.0,5.0,5.0,36.0,45.0,33.333336,33.333336,33.75,36.35416793823242
Uganda,-1.0,5.0,6.0,26.0,45.0,33.333336,16.666664,21.25,29.0625
Ukraine,6.0,4.0,4.0,30.0,80.0,50.0,50.0,26.25,51.5625
Uruguay,10.0,1.0,1.0,70.0,100.0,100.0,100.0,76.25,94.0625
USA,10.0,2.0,2.0,75.0,100.0,83.333336,83.333336,82.5,87.29166793823242
Uzbekistan,-9.0,6.0,7.0,22.0,5.0,16.666664,0.0,16.25,9.479166030883789
Venezuela,-3.0,6.0,7.0,18.0,35.0,16.666664,0.0,11.25,15.729166030883789
Vietnam,-7.0,6.0,7.0,35.0,15.0,16.666664,0.0,32.5,16.04166603088379
Yemen,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75,16.35416603088379
South Africa,9.0,2.0,2.0,43.0,95.0,83.333336,83.333336,42.5,76.04166793823242
Zambia,7.0,4.0,4.0,37.0,85.0,50.0,50.0,35.0,55.0
Zimbabwe,1.0,5.0,6.0,22.0,55.0,33.333336,16.666664,16.25,30.3125
