country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n,eco_s
Palau,13500.0,,,,6.1391106,,,,1.5347776412963867
Papua New Guinea,3770.0,15.4,,,1.5841658,7.373733,,,2.2394747138023376
Poland,36800.0,10.8,18.8,5.66,17.046635,5.666679,32.02308,73.086426,31.95570456981659
North Korea,1620.0,,,,0.5776775,,,,0.1444193720817566
Portugal,35700.0,5.0,19.1,-2.14,16.531689,3.5143056,32.564014,65.679016,29.572256207466125
Paraguay,13500.0,7.57,20.0,3.78,6.1391106,4.46803,34.1868,71.30104,29.023744821548462
Palestine,5720.0,1.54,24.3,-36.6,2.4970274,2.230304,41.940132,32.95347,19.905232965946198
Qatar,97100.0,26.1,43.8,8.22,45.275124,11.344491,77.10062,75.51757,52.30945038795471
Romania,32700.0,13.4,24.5,-4.31,15.127286,6.6315355,42.30076,63.618237,31.919454097747803
Russia,27600.0,15.8,23.5,5.08,12.739801,7.522173,40.497658,72.535614,33.323811531066895
Rwanda,2360.0,16.0,23.6,-16.5,0.92409676,7.5963926,40.67797,52.04179,25.31006257236004
Saudi Arabia,50000.0,16.7,27.7,0.0905,23.226006,7.856162,48.070683,67.79725,36.73752474784851
Sudan,3570.0,117.0,5.79,0.295,1.490539,45.077374,8.564732,67.99145,30.781022876501083
Senegal,3560.0,8.45,35.6,-18.6,1.4858577,4.7945967,62.315178,50.047485,29.660779416561127
Singapore,108000.0,9.05,22.6,31.2,50.377785,5.0172563,38.87487,97.34093,47.90270960330963
Solomon Islands,2250.0,6.99,16.7,-4.34,0.872602,4.252792,28.23657,63.589745,24.237927198410034
Sierra Leone,1640.0,25.3,12.1,-21.4,0.5870402,11.047611,19.9423,47.388412,19.741341173648834
El Salvador,9400.0,7.52,17.1,-17.4,4.219761,4.449475,28.95781,51.187084,22.203532338142395
San Marino,64500.0,,18.1,24.1,30.01395,,30.760912,90.59829,37.8432879447937
