country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015,edu_adulit_2011_n,edu_prim_2020_n,edu_femalit_2009_n,edu_exp_2015_n
Kiribati,,95.0,,,,58.121827411167516,,
St. Kitts and Nevis,,,,5.22,,,,3.2193158953722327
South Korea,,101.0,,,,65.73604060913706,,
St. Lucia,,89.8,,15.9,,51.522842639593904,,30.080482897384304
Liechtenstein,,89.9,,,,51.64974619289341,,
Luxembourg,,77.3,,19.7,,35.659898477157356,,39.63782696177062
Monaco,,,,,,,,
Marshall Islands,,113.0,,,,80.96446700507614,,
New Caledonia,,,100.0,,,,68.81496881496881,
Netherlands,,,,16.8,,,,32.34406438631791
Norway,,99.2,,21.5,,63.45177664974619,,44.16498993963781
Nauru,,93.0,,,,55.58375634517767,,
New Zealand,,,,18.3,,,,36.116700201207244
French Polynesia,,,,,,,,
Solomon Islands,,,,,,,,
San Marino,,90.2,,,,52.03045685279188,,
South Sudan,,,,,,,,
Slovak Republic,,96.8,,21.7,,60.406091370558364,,44.66800804828973
Sweden,,99.7,,21.3,,64.08629441624366,,43.66197183098591
Turks and Caicos Islands,,,,15.6,,,,29.325955734406435
Tuvalu,,101.0,,,,65.73604060913706,,
USA,,101.0,,19.8,,65.73604060913706,,39.88933601609658
St. Vincent and the Grenadines,,119.0,,16.7,,88.57868020304569,,32.092555331991946
British Virgin Islands,,74.2,,7.38,,31.725888324873097,,8.651911468812877
Virgin Islands (U.S.),,,,,,,,
Guam,,,,,,,,
Australia,,,,18.8,,,,37.374245472837025
Curaçao,,,,,,,,
