country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Canada,52.7,8.6,32.8,56.4,86.7,71.6,29.6,50.1,87.0,97.8
Switzerland,57.8,27.3,40.2,61.1,86.7,75.6,33.1,55.6,91.6,98.8
Chile,21.7,22.6,31.0,88.2,78.2,61.6,13.1,41.0,62.8,93.1
China,24.0,17.1,39.3,75.8,69.4,55.0,11.0,57.7,66.8,17.9
Cote d'Ivoire,9.7,32.6,26.9,89.8,38.0,30.3,19.5,44.8,40.4,45.9
Cameroon,6.7,5.5,25.0,91.2,36.7,30.1,25.9,53.1,34.9,20.8
"Congo, Dem. Rep.",2.0,18.7,28.5,88.5,6.3,34.1,28.7,39.2,27.7,26.7
"Congo, Rep.",5.6,0.0,32.5,91.4,29.2,25.8,32.9,36.5,36.4,15.4
Colombia,17.6,64.8,26.9,93.6,72.1,58.5,21.7,47.4,49.3,67.5
Comoros,5.7,32.4,17.7,49.8,47.2,32.4,12.6,44.3,35.5,50.2
Cape Verde,11.8,45.6,24.9,69.2,62.9,42.0,6.1,32.7,33.2,89.4
Costa Rica,24.8,70.8,28.2,93.7,77.2,66.9,18.9,43.0,59.3,90.6
Cuba,7.4,56.6,24.0,93.7,70.4,83.6,8.6,18.0,41.7,19.8
Cayman Islands,38.3,0.0,21.5,,68.8,0.0,0.0,,,
Cyprus,39.4,75.7,31.6,67.4,87.6,59.6,8.7,47.9,73.4,90.0
Czech Republic,31.5,22.0,35.9,69.4,84.4,66.8,21.3,51.5,85.7,87.5
Germany,51.0,24.1,34.9,70.9,87.7,75.3,16.9,53.2,89.3,97.5
Djibouti,4.0,0.3,19.9,85.4,46.0,34.5,8.3,24.5,23.9,30.2
Dominica,17.5,6.7,2.0,47.6,67.9,41.6,2.2,18.1,38.5,65.0
Denmark,46.5,16.0,36.2,69.3,84.5,72.6,21.0,52.6,95.2,99.7
Dominican Republic,10.8,43.2,29.7,92.6,71.4,48.0,6.7,44.2,55.7,62.1
